AirPollutant,O3_Concentration,Months,Years,Datum,PM10_Concentration
O3,26.84146059,1,2013,2013-1,27.11590296
O3,38.81717734,2,2013,2013-2,23.5297619
O3,58.2377258,3,2013,2013-3,25.08064516
O3,62.74289484,4,2013,2013-4,18.94861111
O3,53.78333505,5,2013,2013-5,13.17821782
O3,60.2327617,6,2013,2013-6,12.63133641
O3,73.04614055,7,2013,2013-7,16.21023513
O3,63.23645655,8,2013,2013-8,16.84782609
O3,39.26960326,9,2013,2013-9,10.51669596
O3,26.20230761,10,2013,2013-10,22.23891273
O3,21.0128435,11,2013,2013-11,18.34027778
O3,19.39857308,12,2013,2013-12,23.02828854
O3,16.67595214,1,2014,2014-1,27.82191781
O3,32.88244016,2,2014,2014-2,25.70055453
O3,45.60160344,3,2014,2014-3,28.95833333
O3,52.78552164,4,2014,2014-4,16.32089552
O3,51.84415243,5,2014,2014-5,11.64516129
O3,67.4783135,6,2014,2014-6,11.89481268
O3,70.04754095,7,2014,2014-7,15.50353607
O3,53.98184208,8,2014,2014-8,11.09459459
O3,40.55814736,9,2014,2014-9,20.4875
O3,22.19921523,10,2014,2014-10,22.50268817
O3,14.87302906,11,2014,2014-11,23.00556328
O3,27.60301057,12,2014,2014-12,16.21639785
O3,33.23803607,1,2015,2015-1,13.20188425
O3,33.97216174,2,2015,2015-2,26.35575221
O3,46.24189602,3,2015,2015-3,22.44057052
O3,61.58151383,4,2015,2015-4,14.49303621
O3,59.89379728,5,2015,2015-5,13.05241935
O3,65.03833819,6,2015,2015-6,13.25
O3,76.60337079,7,2015,2015-7,13.46948357
O3,78.92808989,8,2015,2015-8,17.87634409
O3,46.26802326,9,2015,2015-9,11.71805556
O3,21.58848315,10,2015,2015-10,22.92318059
O3,24.99840348,11,2015,2015-11,21.81111111
O3,18.49015471,12,2015,2015-12,18.92607527
O3,20.30282885,1,2016,2016-1,26.88980716
O3,35.73933934,2,2016,2016-2,14.42385057
O3,40.3115862,3,2016,2016-3,18.76027397
O3,48.49055555,4,2016,2016-4,17.58181818
O3,65.37840112,5,2016,2016-5,17.33647376
O3,61.04497816,6,2016,2016-6,15.13888889
O3,61.62760563,7,2016,2016-7,16.20295699
O3,54.86241234,8,2016,2016-8,15.66129032
O3,57.65720524,9,2016,2016-9,24.57805907
O3,19.86479663,10,2016,2016-10,18.79613095
O3,15.81430657,11,2016,2016-11,23.28030303
O3,20.56437587,12,2016,2016-12,23.75720165
O3,34.47630465,1,2017,2017-1,47.63122476
O3,39.62467948,2,2017,2017-2,44.90625
O3,55.95848527,3,2017,2017-3,17.9602649
O3,62.90350365,4,2017,2017-4,16.8549142
O3,67.31789772,5,2017,2017-5,17.8953168
O3,74.83004354,6,2017,2017-6,14.56915739
O3,67.5233883,7,2017,2017-7,14.64428571
O3,64.47018284,8,2017,2017-8,16.12027027
O3,41.84102964,9,2017,2017-9,16.20571429
O3,37.12152269,10,2017,2017-10,17.69500675
O3,28.99608695,11,2017,2017-11,21.58433735
O3,34.82286115,12,2017,2017-12,14.97849462
O3,29.27549295,1,2018,2018-1,20.55316285
O3,36.58680124,2,2018,2018-2,33.54315476
O3,45.81802817,3,2018,2018-3,31.07260274
O3,64.34171511,4,2018,2018-4,23.30532213
O3,89.39614035,5,2018,2018-5,23.19074334
O3,77.2371179,6,2018,2018-6,19.37285714
O3,90.19366197,7,2018,2018-7,19.30340136
O3,80.06544943,8,2018,2018-8,19.18010753
O3,55.37057971,9,2018,2018-9,19.04571429
O3,43.80140449,10,2018,2018-10,28.73013699
O3,20.07782608,11,2018,2018-11,33.68333333
O3,30.37882188,12,2018,2018-12,16.6698762
O3,40.2273743,1,2019,2019-1,18.9348711
O3,34.92939394,2,2019,2019-2,26.20535714
O3,58.04915014,3,2019,2019-3,13.9382716
O3,76.76224189,4,2019,2019-4,22.80416667
O3,67.77593168,5,2019,2019-5,13.55376344
O3,89.71971014,6,2019,2019-6,17.19166667
O3,79.12061711,7,2019,2019-7,16.05978261
O3,63.78036466,8,2019,2019-8,14.74424899
O3,48.0773913,9,2019,2019-9,12.80283688
O3,27.1430575,10,2019,2019-10,19.23369565
O3,21.74970845,11,2019,2019-11,18.46666667
O3,30.90308555,12,2019,2019-12,18.40860215
O3,24.44468085,1,2020,2020-1,23.48426813
O3,54.21424196,2,2020,2020-2,8.459770115
O3,57.83797468,3,2020,2020-3,18.90405405
O3,75.17667304,4,2020,2020-4,23.16606498
